date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:08	29038/29038	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:10%20GMT	https://www.epfundao.edu.pt/modulo/14/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/14/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:08	29915/29915	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:10%20GMT	https://www.epfundao.edu.pt/modulo/22/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/22/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:08	29062/29062	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:10%20GMT	https://www.epfundao.edu.pt/modulo/12/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/12/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:09	29056/29056	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:11%20GMT	https://www.epfundao.edu.pt/modulo/102/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/102/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:09	29049/29049	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:11%20GMT	https://www.epfundao.edu.pt/modulo/84/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/84/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:10	29053/29053	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:11%20GMT	https://www.epfundao.edu.pt/modulo/83/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/83/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:10	91292/91292	---M--	200	added ('OK')	image/jpeg	etag:%225427bd9d2d74a8dc0b83fc61b1ba099f%22	https://www.epfundao.edu.pt/web/image/op.course/6/image?unique=ce66534	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/image/op.course/6/imagec6e5.jpg	(from https://www.epfundao.edu.pt/course/6)
17:53:10	29945/29945	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:12%20GMT	https://www.epfundao.edu.pt/modulo/1/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/1/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:11	29514/29514	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:13%20GMT	https://www.epfundao.edu.pt/modulo/2/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/2/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:11	29472/29472	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:13%20GMT	https://www.epfundao.edu.pt/modulo/13/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/13/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:12	29967/29967	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:13%20GMT	https://www.epfundao.edu.pt/modulo/4/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/4/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:12	29828/29828	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:14%20GMT	https://www.epfundao.edu.pt/modulo/5/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/5/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:13	29293/29293	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:15%20GMT	https://www.epfundao.edu.pt/modulo/3/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/3/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:13	29083/29083	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:15%20GMT	https://www.epfundao.edu.pt/modulo/14/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/14/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:14	29960/29960	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:15%20GMT	https://www.epfundao.edu.pt/modulo/22/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/22/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:14	29107/29107	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:16%20GMT	https://www.epfundao.edu.pt/modulo/12/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/12/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:15	29099/29099	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:16%20GMT	https://www.epfundao.edu.pt/modulo/87/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/87/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:15	29106/29106	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:17%20GMT	https://www.epfundao.edu.pt/modulo/75/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/75/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:16	29830/29830	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:18%20GMT	https://www.epfundao.edu.pt/modulo/24/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/24/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:16	29629/29629	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:18%20GMT	https://www.epfundao.edu.pt/modulo/23/6	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/23/6.html	(from https://www.epfundao.edu.pt/course/6)
17:53:17	90289/90289	---M--	200	added ('OK')	image/jpeg	etag:%2276f220be019716f415711064fe2798cd%22	https://www.epfundao.edu.pt/web/image/op.course/7/image?unique=5976026	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/image/op.course/7/image13b1.jpg	(from https://www.epfundao.edu.pt/course/7)
17:53:17	30508/30508	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:19%20GMT	https://www.epfundao.edu.pt/modulo/1/7	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/1/7.html	(from https://www.epfundao.edu.pt/course/7)
